id,price,log_price,price_per_person,room_type,property_type,accommodates,bedrooms,beds,bathrooms,n_reviews,review_scores_rating,host_is_superhost,availability_365,minimum_nights,period,municipality,cod_istat,dist_ski,dist_lake,dist_park,dist_station,dist_bus,dist_center,dist_supermarket,dist_restaurant,dist_bar,dist_pharmacy,dist_castle,dist_museum,lat,long
37736,159.0,5.0689042022202315,39.75,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,116,4.87,1.0,345,7,december,Novella,22253,5983.2569033773925,22395.992787896572,2662.4102881182394,8512.202383594024,686.767246101554,2591.7877215533517,524.0045480128896,553.292304473256,2104.5943252820525,2536.90096597525,1050.191549277897,2616.35381165032,46.43561,11.1038
56292,279.0,5.631211781821365,69.75,Entire home/apt,Entire rental unit,4,1.0,2.0,1.0,14,4.93,1.0,285,7,december,Pinzolo,22143,217.76030903392393,9406.675334775957,187.83283493070445,9276.500446147744,82.00964727749036,2707.498229824057,51.40872326218768,12.317323241325772,92.79903391419376,149.86783828864844,10904.720696332732,426.20081434634926,46.23199,10.82732
249351,72.0,4.276666119016055,9.0,Private room,Private room in bed and breakfast,8,3.0,8.0,3.0,12,5.0,0.0,23,3,december,Malé,22110,7734.46945586088,11142.436846568935,586.4947491324566,843.5595099536287,292.43693343483227,1724.2222041251534,211.2093747086054,743.6757307081768,996.3578851513585,1089.1862470762844,2321.9038858979666,822.894851723777,46.36155,10.91591
299464,147.0,4.990432586778736,49.0,Entire home/apt,Entire condo,3,0.0,2.0,1.0,1,5.0,1.0,259,3,december,Riva del Garda,22153,14592.025466080082,2683.2530297142816,115.573797354789,2808.7849881925886,140.27710918283978,2941.780487171587,431.1252202359687,364.8128173549601,508.83657352026495,1027.2618579082339,1342.109136609075,2551.48743247378,45.90883,10.8466
367596,95.0,4.553876891600541,15.833333333333334,Entire home/apt,Entire rental unit,6,2.0,5.0,1.0,39,4.76,0.0,71,2,december,Pinzolo,22143,618.7240988014494,14391.919379627425,198.95030521593307,17491.185084871446,96.75986733985113,7411.744320329835,171.66729479120988,123.39870602122367,48.792808220583815,258.49381792690815,13605.301548371173,1343.9104732383205,46.15799,10.76669
398211,414.0,6.025865973825314,41.4,Entire home/apt,Entire rental unit,10,4.0,5.0,2.0,61,4.89,1.0,14,5,december,Novella,22253,6065.1186304254625,22130.90822998355,2538.844092453836,8273.062366827658,460.074568550242,2412.2582953627425,449.0004409416109,488.81969166514364,1974.6888294497246,2706.583114504582,785.0235588002809,2796.0401839328465,46.4336,11.10194
398240,150.0,5.0106352940962555,37.5,Entire home/apt,Entire rental unit,4,1.0,2.0,2.0,133,4.91,1.0,344,5,december,Novella,22253,6005.0020237700055,22385.56219556174,2673.6099188444623,8493.935768858157,685.2548280234117,2570.2454723130027,535.2462937988112,565.5301831678113,2107.3162168038157,2559.012128092353,1038.945077167532,2638.27596263226,46.43562,11.10351
398249,159.0,5.0689042022202315,39.75,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,80,4.92,1.0,310,5,december,Novella,22253,6121.963726839722,22301.53818034803,2715.558318102688,8374.322953641675,662.0653417433425,2440.8794219302576,589.3674329854272,624.6613203274071,2138.781578449852,2688.021639152342,956.2838654464801,2767.6865177425293,46.43542,11.10185
2245097,60.0,4.0943445622221,15.0,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,95,4.73,1.0,85,2,december,Sfruz,22173,2222.870364248296,14891.480395937724,142.2632364862758,4116.793043190226,73.08306556064545,2829.9452075667837,977.9093897021713,133.69132991821118,2171.577416631825,2474.96860891678,2805.237196483239,1982.8874955400704,46.33685,11.11683
2285895,243.0,5.493061443340548,27.0,Entire home/apt,Entire vacation home,9,3.0,6.0,3.0,18,4.78,1.0,342,2,december,Rovereto,22161,6026.454377343645,12122.33106983193,0.0,1552.0245438245747,205.07433258228178,4403.2584192477125,83.05466698545604,307.3249535275124,301.8626770274937,381.9372872712023,2017.8505366584861,1164.515321986107,45.90427,11.0393
