id,price,log_price,price_per_person,room_type,accommodates,n_reviews,municipality,cod_istat,dist_ski,dist_lake,dist_park,dist_station,dist_bus,dist_center,dist_supermarket,dist_restaurant,dist_bar,dist_pharmacy,dist_castle,dist_museum,lat,long
37736,93.0,4.532599493153256,23.25,Entire home/apt,4,128,Novella,22253,5983.2569033773925,2001.0493010593,2662.4102881182394,8389.584546484622,686.767246101554,2591.7877215533517,524.0045480128896,553.292304473256,2104.5943252820525,2536.90096597525,1050.191549277897,2616.35381165032,46.43561,11.1038
56292,90.0,4.499809670330265,22.5,Entire home/apt,4,23,Pinzolo,22143,217.76030903392393,462.47000636871184,187.83283493070445,9276.500446147744,82.00964727749036,2707.498229824057,51.40872326218768,12.317323241325772,92.79903391419376,149.86783828864844,10904.720696332732,426.20081434634926,46.23199,10.82732
249351,72.0,4.276666119016055,9.0,Private room,8,12,Malé,22110,7734.46945586088,929.3067247902864,586.4947491324566,843.5595099536287,292.43693343483227,1724.2222041251534,211.2093747086054,743.6757307081768,996.3578851513585,1089.1862470762844,2321.9038858979666,822.894851723777,46.36155,10.91591
299464,94.0,4.543294782270004,31.333333333333332,Entire home/apt,3,1,Riva del Garda,22153,14810.813464457386,473.73746120394077,115.573797354789,2808.7849881925886,140.27710918283978,2941.780487171587,431.1252202359687,364.8128173549601,508.83657352026495,1027.2618579082339,1342.109136609075,2551.48743247378,45.90883,10.8466
367596,91.0,4.51085950651685,15.166666666666666,Entire home/apt,6,44,Pinzolo,22143,618.7240988014494,603.2388924520735,198.95030521593307,17491.185084871446,96.75986733985113,7411.744320329835,171.66729479120988,244.260864948924,48.792808220583815,258.49381792690815,13605.301548371173,1343.9104732383205,46.15799,10.76669
398211,177.0,5.176149732573829,17.7,Entire home/apt,10,66,Novella,22253,6065.1186304254625,1924.5371049155733,2538.844092453836,8273.062366827658,460.074568550242,2412.2582953627425,449.0004409416109,488.81969166514364,1974.6888294497246,2706.583114504582,785.0235588002809,2796.0401839328465,46.4336,11.10194
398240,78.0,4.356708826689592,19.5,Entire home/apt,4,144,Novella,22253,6005.0020237700055,1997.8564408127295,2673.6099188444623,8411.361752040477,685.2548280234117,2570.2454723130027,535.2462937988112,565.5301831678113,2107.3162168038157,2559.012128092353,1038.945077167532,2638.27596263226,46.43562,11.10351
398249,100.0,4.605170185988092,25.0,Entire home/apt,4,94,Novella,22253,6121.963726839722,2012.898253225936,2715.558318102688,8374.322953641675,662.0653417433425,2440.8794219302576,589.3674329854272,624.6613203274071,2138.781578449852,2688.021639152342,956.2838654464801,2767.6865177425293,46.43542,11.10185
414591,100.0,4.605170185988092,50.0,Private room,2,96,Rabbi,22150,6810.022113323894,3827.8087865789457,3562.5867125892523,3726.7992743198915,47.4885243066148,7830.337427719325,3062.9294101044516,63.122806445095584,3495.5051279822487,3534.71939634803,5270.421430366129,3489.2578058520094,46.37324,10.87785
414829,165.0,5.10594547390058,41.25,Entire home/apt,4,138,Rabbi,22150,8909.604519937757,2027.0661754419484,7369.098336009362,7504.848203845792,232.47976393082146,4270.754035139521,241.36039343997032,201.4518924540108,2873.431536424635,215.6672906011035,8564.128373396421,7277.629524439594,46.39911,10.84504
506103,135.0,4.90527477843843,22.5,Entire home/apt,6,50,Commezzadura,22064,1681.1792724217357,535.2304531364498,1258.9307869071058,1387.7699443052188,282.8817195778261,2099.1721931705147,1057.5277659316998,882.2019191063079,874.6610313709558,1178.532377941865,8207.002188517565,4089.4907446016596,46.31801,10.86405
541153,60.0,4.0943445622221,15.0,Entire home/apt,4,13,San Giovanni di Fassa-Sèn Jan,22250,153.82217571855887,355.86306162519986,2634.5180168401016,19063.248372464408,191.30642159726364,7482.206226307868,4512.980291178028,105.49893874309217,110.52959299184458,4744.186242867203,14321.654347738384,4895.569885507954,46.40362,11.61082
587230,77.0,4.343805421853684,19.25,Entire home/apt,4,156,Riva del Garda,22153,14303.225950880453,343.18016799113514,1237.1541447207026,1647.7329762951674,99.85927679397959,1465.9245954177716,1128.2997443715226,176.5912246316161,895.7553773972065,854.1851694086322,1612.2205964346676,1737.9932048119529,45.89935,10.83322
